"year","iteration","sAg","ppnCUsLowerBM"
28,"16",122707.844869396,NA
28,"17",126441.726596497,NA
28,"18",121108.041119368,NA
28,"19",135428.127328603,NA
28,"20",113800.463854474,NA
29,"1",104251.862374473,NA
29,"2",125599.163211277,NA
29,"3",152858.890248168,NA
29,"4",111643.556961791,NA
29,"5",179871.397346922,NA
29,"6",118812.954425808,NA
29,"7",103351.281621298,NA
29,"8",89855.1784323023,NA
29,"9",298599.781488442,NA
29,"10",59806.413012329,NA
29,"11",71240.7298368474,NA
29,"12",112897.60476512,NA
29,"13",178798.055027599,NA
29,"14",179071.900957519,NA
29,"15",86945.8656541951,NA
29,"16",143922.379696199,NA
29,"17",111085.116310797,NA
29,"18",167491.81078572,NA
29,"19",168141.049927263,NA
29,"20",107106.648403036,NA
30,"1",42663.3833852426,NA
30,"2",223320.030464065,NA
30,"3",198287.500362642,NA
30,"4",145703.547690082,NA
30,"5",109237.505023534,NA
30,"6",98633.7868412417,NA
30,"7",95859.3731427462,NA
30,"8",40833.7429005906,NA
30,"9",121180.407826524,NA
30,"10",69632.8062471264,NA
30,"11",176425.964580872,NA
30,"12",73960.3139827564,NA
30,"13",247291.204284815,NA
30,"14",76663.8589515869,NA
30,"15",128886.93081442,NA
30,"16",185347.450413967,NA
30,"17",67763.5351044205,NA
30,"18",146303.996920157,NA
30,"19",97715.839469504,NA
30,"20",230931.906084852,NA
31,"1",116950.575936868,NA
31,"2",145699.517318983,NA
31,"3",113960.895565091,NA
31,"4",56552.6009577208,NA
31,"5",73431.6066183109,NA
31,"6",134544.190828727,NA
31,"7",81506.9416848105,NA
31,"8",87658.4549809216,NA
31,"9",219378.024980714,NA
31,"10",161613.065119316,NA
31,"11",195546.217154072,NA
31,"12",81886.3065657117,NA
31,"13",87450.4095176881,NA
31,"14",99467.0581038791,NA
31,"15",134171.761234077,NA
31,"16",139228.446252964,NA
31,"17",122884.463999237,NA
31,"18",200030.816599602,NA
31,"19",222283.817364918,NA
31,"20",173668.553650396,NA
32,"1",98117.3946637543,NA
32,"2",146639.152846308,NA
32,"3",140927.713430014,NA
32,"4",50058.8063835362,NA
32,"5",68695.0281488979,NA
32,"6",81042.4901715367,NA
32,"7",117824.686790857,NA
32,"8",63423.3457230144,NA
32,"9",184132.350847745,NA
32,"10",164481.528730089,NA
32,"11",131990.307039342,NA
32,"12",171565.361303549,NA
32,"13",122887.432828056,NA
32,"14",94919.7093362268,NA
32,"15",107976.666003857,NA
32,"16",98285.6798624439,NA
32,"17",114980.542233032,NA
32,"18",122540.681440464,NA
32,"19",107817.049809881,NA
32,"20",148097.42840832,NA
33,"1",180160.165807483,NA
33,"2",128686.405229165,NA
33,"3",106231.253758976,NA
33,"4",125008.04170299,NA
33,"5",120666.627400743,NA
33,"6",147494.300193587,NA
33,"7",113964.668126138,NA
33,"8",182131.935321142,NA
33,"9",96215.7140596006,NA
33,"10",181832.32303979,NA
33,"11",67888.6239663453,NA
33,"12",220976.253272855,NA
33,"13",98966.3823418745,NA
33,"14",120081.644860603,NA
33,"15",72966.3031105181,NA
33,"16",121044.231516831,NA
33,"17",150295.375105875,NA
33,"18",89060.4738115339,NA
33,"19",89592.9407505608,NA
33,"20",139162.369397689,NA
34,"1",130241.981235154,NA
34,"2",143368.138855735,NA
34,"3",108169.95653998,NA
34,"4",40878.1615893067,NA
34,"5",273295.24640811,NA
34,"6",135163.539217058,NA
34,"7",97473.661851936,NA
34,"8",128893.886380452,NA
34,"9",133494.614170434,NA
34,"10",101853.39260716,NA
34,"11",62769.4075771324,NA
34,"12",172875.886529999,NA
34,"13",116231.074411748,NA
34,"14",77048.1161298093,NA
34,"15",260753.002671527,NA
34,"16",114362.356972749,NA
34,"17",118716.038714246,NA
34,"18",150073.675789467,NA
34,"19",143415.466783526,NA
34,"20",172696.013252998,NA
35,"1",112814.325660319,NA
35,"2",120555.211311328,NA
35,"3",91025.2797314782,NA
35,"4",51790.9527948986,NA
35,"5",87193.2395335905,NA
35,"6",225307.88908839,NA
35,"7",149626.769311972,NA
35,"8",139038.860800286,NA
35,"9",116244.647361594,NA
35,"10",104920.445940451,NA
35,"11",130491.600429851,NA
35,"12",65829.728834739,NA
35,"13",245795.478799187,NA
35,"14",73142.8643130169,NA
35,"15",142717.280901496,NA
35,"16",84865.3237894159,NA
35,"17",124486.250448691,NA
35,"18",105431.393793403,NA
35,"19",172273.300328035,NA
35,"20",125278.800908892,NA
36,"1",182795.883753783,NA
36,"2",95119.0679020549,NA
36,"3",118662.906478008,NA
36,"4",78522.4328785548,NA
36,"5",74602.8795636541,NA
36,"6",101294.852742169,NA
36,"7",149165.575336992,NA
36,"8",195049.798795377,NA
36,"9",123006.734436007,NA
36,"10",129638.590077934,NA
36,"11",92702.4993134808,NA
36,"12",51293.211829978,NA
36,"13",144113.846821919,NA
36,"14",115789.467822019,NA
36,"15",113526.018171187,NA
36,"16",219795.01784263,NA
36,"17",164717.187180158,NA
36,"18",99723.1524129589,NA
36,"19",68773.9237433064,NA
36,"20",126615.868655911,NA
37,"1",90598.1458754689,NA
37,"2",93148.9008981592,NA
37,"3",90142.6554880669,NA
37,"4",48799.7206098467,NA
37,"5",59860.4464227585,NA
37,"6",92318.7041988364,NA
37,"7",142952.067950861,NA
37,"8",168211.369618458,NA
37,"9",125748.455215213,NA
37,"10",117396.819734561,NA
37,"11",130991.995118593,NA
37,"12",205549.047728284,NA
37,"13",80286.1885064301,NA
37,"14",83869.6475881923,NA
37,"15",143535.528547271,NA
37,"16",200347.307895235,NA
37,"17",202674.728348895,NA
37,"18",144586.581956658,NA
37,"19",126356.052437095,NA
37,"20",165640.246515044,NA
38,"1",94421.4187556359,NA
38,"2",225785.137130611,NA
38,"3",111855.208249176,NA
38,"4",59520.9651692316,NA
38,"5",262665.10508251,NA
38,"6",88091.9995750703,NA
38,"7",257949.007979267,NA
38,"8",191287.701319606,NA
38,"9",143305.571453318,NA
38,"10",224417.370787181,NA
38,"11",94410.2037515939,NA
38,"12",95445.5824279317,NA
38,"13",78574.2017149027,NA
38,"14",81561.584965202,NA
38,"15",241783.117359208,NA
38,"16",140473.837556251,NA
38,"17",117900.804349603,NA
38,"18",98900.5441218665,NA
38,"19",153985.289865238,NA
38,"20",78436.5175844171,NA
39,"1",186792.394635801,NA
39,"2",128049.242731595,NA
39,"3",101691.258626892,NA
39,"4",63517.7921855265,NA
39,"5",131285.982131538,NA
39,"6",86237.0060993832,NA
39,"7",159799.351350307,NA
39,"8",141181.504109126,NA
39,"9",87965.6376866472,NA
39,"10",114894.394580534,NA
39,"11",117920.125977958,NA
39,"12",65364.8347032466,NA
39,"13",224709.183669239,NA
39,"14",156804.441478216,NA
39,"15",122736.938537928,NA
39,"16",77568.6856219839,NA
39,"17",150327.784143387,NA
39,"18",188243.673788922,NA
39,"19",62550.6059322729,NA
39,"20",91871.8207099061,NA
40,"1",76445.8687766048,NA
40,"2",160215.49242125,NA
40,"3",121248.858834644,NA
40,"4",150141.356089468,NA
40,"5",90914.9600367191,NA
40,"6",113816.532901497,NA
40,"7",126523.048235065,NA
40,"8",120267.231783972,NA
40,"9",104708.4807963,NA
40,"10",60421.3487017362,NA
40,"11",92015.2069434471,NA
40,"12",74606.3765527461,NA
40,"13",160013.920141505,NA
40,"14",118686.683317884,NA
40,"15",140303.794930543,NA
40,"16",82686.9138552034,NA
40,"17",97165.7694460253,NA
40,"18",204985.555887506,NA
40,"19",121466.612273373,NA
40,"20",83319.2662291151,NA
41,"1",50876.1806951071,NA
41,"2",182928.483616603,NA
41,"3",118111.456713483,NA
41,"4",95886.0137543583,NA
41,"5",174820.759005455,NA
41,"6",160311.411334512,NA
41,"7",133312.552190532,NA
41,"8",99886.3424582047,NA
41,"9",139696.14508264,NA
41,"10",53336.5410670363,NA
41,"11",57184.9413440429,NA
41,"12",137387.816396082,NA
